,B_fighter,date,location,Winner,title_bout,weight_class,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_BODY_att,B_avg_BODY_landed,B_avg_CLINCH_att,B_avg_CLINCH_landed,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_KD,B_avg_LEG_att,B_avg_LEG_landed,B_avg_PASS,B_avg_SUB_ATT,B_avg_TD_att,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_opp_CLINCH_att,B_avg_opp_CLINCH_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_avg_opp_HEAD_att,B_avg_opp_HEAD_landed,B_avg_opp_KD,B_avg_opp_LEG_att,B_avg_opp_LEG_landed,B_avg_opp_PASS,B_avg_opp_SUB_ATT,B_avg_opp_TD_att,B_avg_opp_TD_landed,B_avg_opp_TD_pct,B_total_rounds_fought,B_total_time_fought(seconds),B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Weight_lbs,B_age,Gender
15,Chris Fishgold,2019-06-01,"Stockholm, Sweden",Red,False,Featherweight,3,0.0,1.0,0.0,2.5,1.0,5.0,2.5,45.5,13.5,46.5,13.5,0.0,4.5,2.5,2.5,1.0,6.0,3.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,27.5,12.0,38.0,18.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,3.0,310.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Orthodox,172.72,145.0,26.0,1
16,Christos Giagos,2019-06-01,"Stockholm, Sweden",Blue,False,Lightweight,3,0.0,1.0,0.0,7.0,4.2,4.6,2.6,42.8,11.0,52.2,14.8,0.0,1.0,0.8,1.0,0.2,3.0,1.2,0.3,1.0,3.0,6.4,4.2,5.2,2.6,30.4,12.6,26.6,9.4,0.0,4.8,3.6,2.2,0.8,2.4,1.4,0.414,10.0,558.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,Orthodox,177.8,155.0,29.0,1
17,Sung Bin Jo,2019-06-01,"Stockholm, Sweden",Red,False,Featherweight,3,0.0,0.0,0.0,6.9230769230769225,4.823529411764706,6.333333333333332,4.2,44.0,15.0,48.66666666666666,17.576923076923073,0.125,4.454545454545454,3.583333333333333,1.0,0.3333333333333333,2.0,1.0,0.3,0.0,0.0,6.8,4.5,5.875,3.6666666666666665,43.14285714285715,14.384615384615385,46.125,14.8,0.0,4.75,3.7222222222222223,0.6666666666666666,0.25,2.375,0.8461538461538461,0.2371428571428572,0.0,606.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,182.88,145.0,26.0,1
18,Sergey Khandozhko,2019-06-01,"Stockholm, Sweden",Blue,False,Welterweight,3,0.0,0.0,0.0,6.9230769230769225,4.823529411764706,6.333333333333332,4.2,44.0,15.0,48.66666666666666,17.576923076923073,0.125,4.454545454545454,3.583333333333333,1.0,0.3333333333333333,2.0,1.0,0.3,0.0,0.0,6.8,4.5,5.875,3.6666666666666665,43.14285714285715,14.384615384615385,46.125,14.8,0.0,4.75,3.7222222222222223,0.6666666666666666,0.25,2.375,0.8461538461538461,0.2371428571428572,0.0,606.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,185.42,170.0,27.0,1
20,Leonardo Santos,2019-06-01,"Stockholm, Sweden",Blue,False,Lightweight,3,0.0,4.0,0.0,9.666666666666666,5.166666666666667,2.0,1.0,53.83333333333334,18.83333333333333,46.66666666666666,15.0,0.16666666666666666,6.0,5.0,1.8333333333333333,0.3333333333333333,3.333333333333333,0.8333333333333334,0.3566666666666667,4.0,1.0,7.833333333333332,5.5,7.166666666666668,5.166666666666667,63.66666666666666,21.5,56.0,15.166666666666664,0.16666666666666666,10.666666666666666,8.166666666666666,0.0,0.0,2.5,0.3333333333333333,0.08333333333333333,14.0,656.3333333333334,1.0,0.0,1.0,1.0,1.0,2.0,0.0,5.0,Orthodox,182.88,155.0,39.0,1
21,Frank Camacho,2019-06-01,"Stockholm, Sweden",Blue,False,Lightweight,3,2.0,0.0,0.0,21.66666666666667,17.666666666666668,13.333333333333336,10.333333333333334,177.33333333333337,84.0,170.33333333333334,76.33333333333333,0.0,1.0,1.0,1.3333333333333333,0.0,3.333333333333333,1.3333333333333333,0.4,1.0,2.0,24.66666666666667,18.666666666666668,12.0,8.333333333333334,206.0,90.0,191.0,74.66666666666667,0.6666666666666666,9.333333333333334,9.333333333333334,0.3333333333333333,0.3333333333333333,4.333333333333333,0.6666666666666666,0.09333333333333334,8.0,727.6666666666665,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Orthodox,177.8,170.0,30.0,1
23,Devin Clark,2019-06-01,"Stockholm, Sweden",Blue,False,Light Heavyweight,3,1.0,0.0,0.0,9.5,7.166666666666668,12.166666666666664,9.0,37.16666666666666,16.333333333333332,44.66666666666666,22.5,0.3333333333333333,6.833333333333332,5.833333333333332,1.8333333333333333,0.16666666666666666,4.833333333333333,2.1666666666666665,0.3933333333333333,2.0,3.0,13.166666666666664,11.666666666666664,15.833333333333336,13.333333333333336,33.5,15.5,33.666666666666664,14.5,0.3333333333333333,7.166666666666668,6.166666666666668,0.16666666666666666,0.6666666666666666,1.0,0.16666666666666666,0.16666666666666666,13.0,620.6666666666666,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,Orthodox,182.88,205.0,29.0,1
24,Danilo Belluardo,2019-06-01,"Stockholm, Sweden",Red,False,Lightweight,3,0.0,0.0,0.0,6.9230769230769225,4.823529411764706,6.333333333333332,4.2,44.0,15.0,48.66666666666666,17.576923076923073,0.125,4.454545454545454,3.583333333333333,1.0,0.3333333333333333,2.0,1.0,0.3,0.0,0.0,6.8,4.5,5.875,3.6666666666666665,43.14285714285715,14.384615384615385,46.125,14.8,0.0,4.75,3.7222222222222223,0.6666666666666666,0.25,2.375,0.8461538461538461,0.2371428571428572,0.0,606.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southpaw,182.88,155.0,24.0,1
25,Kevin Lee,2019-05-18,"Rochester, New York, USA",Red,False,Welterweight,5,1.0,0.0,0.0,12.714285714285715,9.714285714285714,6.142857142857142,4.714285714285714,83.21428571428571,26.0,99.71428571428572,38.142857142857146,0.0,1.2142857142857142,1.2142857142857142,3.2142857142857144,0.7857142857142857,5.7142857142857135,2.5,0.455,5.0,4.0,11.5,7.928571428571429,4.428571428571429,3.1428571428571432,71.71428571428571,32.07142857142857,62.214285714285715,24.92857142857143,0.14285714285714285,6.5,5.571428571428571,0.14285714285714285,0.5714285714285714,2.2142857142857144,0.42857142857142855,0.14071428571428574,36.0,724.8571428571429,1.0,0.0,1.0,3.0,1.0,4.0,1.0,10.0,Orthodox,175.26,170.0,26.0,1
26,Ian Heinisch,2019-05-18,"Rochester, New York, USA",Blue,False,Middleweight,3,0.0,1.0,0.0,10.0,10.0,21.0,14.0,59.0,30.0,74.0,38.0,1.0,11.0,7.0,1.0,2.0,7.0,1.0,0.14,1.0,0.0,9.0,3.0,8.0,4.0,47.0,22.0,39.0,17.0,0.0,7.0,6.0,1.0,0.0,11.0,5.0,0.45,3.0,900.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Orthodox,180.34,185.0,30.0,1
28,Derrick Krantz,2019-05-18,"Rochester, New York, USA",Red,False,Welterweight,3,0.0,0.0,0.0,6.9230769230769225,4.823529411764706,6.333333333333332,4.2,44.0,15.0,48.66666666666666,17.576923076923073,0.125,4.454545454545454,3.583333333333333,1.0,0.3333333333333333,2.0,1.0,0.3,0.0,0.0,6.8,4.5,5.875,3.6666666666666665,43.14285714285715,14.384615384615385,46.125,14.8,0.0,4.75,3.7222222222222223,0.6666666666666666,0.25,2.375,0.8461538461538461,0.2371428571428572,0.0,606.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,177.8,170.0,31.0,1
29,Nik Lentz,2019-05-18,"Rochester, New York, USA",Red,False,Lightweight,3,0.0,2.0,0.0,13.181818181818182,10.590909090909092,13.227272727272727,8.863636363636363,62.04545454545455,25.54545454545455,66.13636363636364,26.863636363636363,0.09090909090909093,7.909090909090909,6.454545454545454,2.4545454545454546,1.0909090909090908,8.727272727272727,3.0,0.315,4.0,8.0,8.136363636363637,6.136363636363638,11.0,7.636363636363638,57.13636363636363,24.63636363636364,63.72727272727273,27.772727272727273,0.18181818181818185,4.863636363636363,4.227272727272728,1.318181818181818,0.6363636363636364,3.5909090909090913,2.0,0.3668181818181818,59.0,754.9090909090909,0.0,0.0,2.0,7.0,3.0,2.0,0.0,14.0,Orthodox,172.72,155.0,34.0,1
30,Austin Hubbard,2019-05-18,"Rochester, New York, USA",Red,False,Lightweight,3,0.0,0.0,0.0,6.9230769230769225,4.823529411764706,6.333333333333332,4.2,44.0,15.0,48.66666666666666,17.576923076923073,0.125,4.454545454545454,3.583333333333333,1.0,0.3333333333333333,2.0,1.0,0.3,0.0,0.0,6.8,4.5,5.875,3.6666666666666665,43.14285714285715,14.384615384615385,46.125,14.8,0.0,4.75,3.7222222222222223,0.6666666666666666,0.25,2.375,0.8461538461538461,0.2371428571428572,0.0,606.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,177.8,155.0,27.0,1
32,Charles Jourdain,2019-05-18,"Rochester, New York, USA",Red,False,Lightweight,3,0.0,0.0,0.0,6.9230769230769225,4.823529411764706,6.333333333333332,4.2,44.0,15.0,48.66666666666666,17.576923076923073,0.125,4.454545454545454,3.583333333333333,1.0,0.3333333333333333,2.0,1.0,0.3,0.0,0.0,6.8,4.5,5.875,3.6666666666666665,43.14285714285715,14.384615384615385,46.125,14.8,0.0,4.75,3.7222222222222223,0.6666666666666666,0.25,2.375,0.8461538461538461,0.2371428571428572,0.0,606.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Switch,175.26,155.0,23.0,1
33,Michel Pereira,2019-05-18,"Rochester, New York, USA",Blue,False,Welterweight,3,0.0,0.0,0.0,6.9230769230769225,4.823529411764706,6.333333333333332,4.2,44.0,15.0,48.66666666666666,17.576923076923073,0.125,4.454545454545454,3.583333333333333,1.0,0.3333333333333333,2.0,1.0,0.3,0.0,0.0,6.8,4.5,5.875,3.6666666666666665,43.14285714285715,14.384615384615385,46.125,14.8,0.0,4.75,3.7222222222222223,0.6666666666666666,0.25,2.375,0.8461538461538461,0.2371428571428572,0.0,606.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,185.42,170.0,25.0,1
34,Grant Dawson,2019-05-18,"Rochester, New York, USA",Blue,False,Featherweight,3,0.0,1.0,0.0,5.0,2.0,12.0,5.0,75.0,28.0,115.0,48.0,0.0,8.0,7.0,5.0,1.0,11.0,6.0,0.54,1.0,0.0,15.0,9.0,10.0,8.0,62.0,30.0,67.0,37.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,900.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Switch,177.8,145.0,25.0,1
35,Ed Herman,2019-05-18,"Rochester, New York, USA",Blue,False,Light Heavyweight,3,3.0,0.0,0.0,9.666666666666666,7.952380952380952,10.952380952380953,7.857142857142858,36.142857142857146,13.142857142857142,46.57142857142857,18.904761904761905,0.14285714285714285,3.4285714285714284,2.8571428571428568,1.7142857142857142,0.7619047619047619,2.952380952380953,1.5238095238095235,0.47,3.0,11.0,7.3809523809523805,5.666666666666668,6.809523809523809,5.285714285714286,35.952380952380956,17.333333333333332,38.714285714285715,17.904761904761905,0.14285714285714285,5.238095238095238,4.714285714285714,1.619047619047619,0.9047619047619048,2.571428571428572,0.9523809523809524,0.17857142857142858,47.0,560.4761904761905,1.0,0.0,1.0,2.0,3.0,4.0,0.0,10.0,Orthodox,185.42,205.0,38.0,1
36,Trevin Giles,2019-05-18,"Rochester, New York, USA",Red,False,Middleweight,3,0.0,2.0,0.0,7.0,6.0,2.5,2.5,62.0,38.0,74.5,48.0,0.5,1.5,1.5,3.0,0.0,2.5,2.5,0.5,2.0,0.0,5.5,3.5,0.0,0.0,47.0,10.0,39.5,5.5,0.0,3.5,2.5,1.0,0.0,3.0,1.0,0.2,5.0,610.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,Orthodox,182.88,185.0,26.0,1
37,Julian Erosa,2019-05-18,"Rochester, New York, USA",Red,False,Featherweight,3,3.0,0.0,0.0,15.75,11.75,11.25,8.0,45.0,21.0,42.25,18.25,0.0,3.0,2.5,0.5,0.75,1.0,0.75,0.415,1.0,3.0,3.75,2.75,9.25,4.75,54.75,23.25,67.75,28.75,0.5,7.75,5.75,1.5,0.25,5.75,2.25,0.1975,9.0,545.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Southpaw,185.42,145.0,29.0,1
39,Anderson Silva,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,False,Middleweight,3,1.0,0.0,0.0,8.652173913043477,6.956521739130435,6.217391304347826,5.217391304347826,41.73913043478261,22.130434782608692,37.91304347826087,18.782608695652176,0.7826086956521741,9.304347826086957,7.782608695652174,0.13043478260869565,0.2608695652173913,0.17391304347826084,0.13043478260869565,0.13043478260869565,16.0,6.0,6.0,3.3043478260869565,5.434782608695652,3.0,51.91304347826087,17.26086956521739,52.82608695652174,16.391304347826086,0.13043478260869565,9.956521739130435,7.304347826086956,0.7826086956521741,0.17391304347826084,3.3043478260869565,0.7826086956521741,0.2260869565217391,58.0,651.2608695652174,13.0,0.0,0.0,3.0,11.0,3.0,0.0,17.0,Southpaw,187.96,185.0,44.0,1
40,Alexander Volkanovski,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Blue,False,Featherweight,3,0.0,6.0,0.0,11.833333333333336,8.833333333333334,14.833333333333336,10.5,68.5,36.5,93.0,51.16666666666666,0.6666666666666666,14.666666666666664,12.0,2.333333333333333,0.5,6.5,2.6666666666666665,0.4566666666666666,6.0,0.0,8.5,5.166666666666667,7.0,4.166666666666667,72.83333333333333,25.33333333333333,70.0,23.5,0.16666666666666666,2.833333333333333,2.333333333333333,0.5,0.0,3.5,1.0,0.40166666666666667,15.0,712.8333333333335,0.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,Orthodox,167.64,145.0,30.0,1
41,Laureano Staropoli,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Blue,False,Welterweight,3,0.0,1.0,0.0,29.0,15.0,5.0,3.0,270.0,94.0,235.0,71.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,7.0,12.0,6.0,158.0,63.0,136.0,45.0,0.0,22.0,17.0,0.0,0.0,0.0,0.0,0.0,3.0,900.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Orthodox,185.42,170.0,26.0,1
43,Ryan Spann,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Blue,False,Light Heavyweight,3,0.0,1.0,0.0,8.0,8.0,6.0,5.0,68.0,23.0,88.0,38.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,3.0,2.0,35.0,14.0,51.0,22.0,0.0,2.0,2.0,2.0,1.0,11.0,4.0,0.36,3.0,900.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Orthodox,195.58,205.0,27.0,1
44,Kurt Holobaugh,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,False,Lightweight,3,3.0,0.0,0.0,11.333333333333336,9.0,9.666666666666666,7.666666666666668,105.33333333333331,40.66666666666666,101.33333333333331,38.333333333333336,0.3333333333333333,10.333333333333334,7.333333333333332,0.0,0.6666666666666666,1.6666666666666667,0.6666666666666666,0.2766666666666667,0.0,3.0,8.666666666666666,6.666666666666668,13.666666666666664,7.666666666666668,68.33333333333333,35.333333333333336,83.0,41.66666666666666,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,2.6666666666666665,1.3333333333333333,0.3333333333333333,7.0,573.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,180.34,155.0,32.0,1
45,Sergio Moraes,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,False,Welterweight,3,1.0,0.0,0.0,8.25,5.25,1.8333333333333333,0.9166666666666666,64.5,27.08333333333333,58.75,23.0,0.08333333333333333,2.333333333333333,1.9166666666666667,1.6666666666666667,0.4166666666666667,2.6666666666666665,1.0833333333333333,0.3625,4.0,4.0,12.666666666666664,7.583333333333332,1.5833333333333333,1.25,103.58333333333331,36.833333333333336,86.33333333333331,24.83333333333333,0.5,9.166666666666666,7.416666666666668,0.25,0.0,0.3333333333333333,0.08333333333333333,0.08333333333333333,31.0,730.9166666666665,1.0,0.0,2.0,2.0,1.0,3.0,0.0,8.0,Orthodox,182.88,170.0,36.0,1
46,Clay Guida,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Blue,False,Lightweight,3,1.0,0.0,0.0,6.230769230769232,4.076923076923077,5.769230769230768,4.038461538461538,66.84615384615384,15.384615384615385,73.65384615384616,17.576923076923073,0.2307692307692308,7.461538461538463,6.5,1.9615384615384612,0.5384615384615384,6.653846153846153,2.4230769230769234,0.3426923076923077,4.0,12.0,5.961538461538463,4.115384615384615,6.884615384615384,4.538461538461538,72.34615384615384,20.615384615384613,74.11538461538461,21.846153846153847,0.19230769230769232,3.0769230769230766,2.3461538461538463,0.4230769230769231,0.8461538461538461,2.230769230769231,0.5769230769230769,0.1557692307692308,67.0,702.1538461538463,0.0,0.0,3.0,5.0,2.0,4.0,0.0,14.0,Orthodox,170.18,155.0,37.0,1
48,Carlos Huachin,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,False,Bantamweight,3,0.0,0.0,0.0,6.9230769230769225,4.823529411764706,6.333333333333332,4.2,44.0,15.0,48.66666666666666,17.576923076923073,0.125,4.454545454545454,3.583333333333333,1.0,0.3333333333333333,2.0,1.0,0.3,0.0,0.0,6.8,4.5,5.875,3.6666666666666665,43.14285714285715,14.384615384615385,46.125,14.8,0.0,4.75,3.7222222222222223,0.6666666666666666,0.25,2.375,0.8461538461538461,0.2371428571428572,0.0,606.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southpaw,162.56,135.0,22.0,1
51,Elias Theodorou,2019-05-04,"Ottawa, Ontario, Canada",Red,False,Middleweight,3,0.0,3.0,0.0,33.2,18.4,22.0,15.3,104.1,35.4,82.1,26.3,0.0,20.1,13.2,0.5,0.0,4.5,1.3,0.266,3.0,2.0,11.8,8.7,17.9,12.4,50.1,18.2,51.2,18.1,0.1,5.7,4.3,0.8,0.3,4.0,1.6,0.304,28.0,832.8,1.0,0.0,1.0,5.0,2.0,0.0,0.0,8.0,Orthodox,185.42,185.0,30.0,1
52,Shane Burgos,2019-05-04,"Ottawa, Ontario, Canada",Blue,False,Featherweight,3,0.0,1.0,0.0,17.8,11.6,8.8,7.0,136.2,59.2,126.2,52.6,1.0,8.6,7.4,0.4,0.2,0.4,0.4,0.4,3.0,1.0,15.4,7.2,6.2,2.4,168.2,56.2,144.6,41.2,0.4,16.6,11.4,0.0,0.0,6.8,0.4,0.044,13.0,656.4,0.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0,Orthodox,180.34,145.0,28.0,1
